Round Number,Home Team,Away Team,Predicted Winner,Win Prob,Margin
24,Essendon,Carlton,Carlton,62.14,50
24,Collingwood,Melbourne,Collingwood,67.42,25
24,Port Adelaide,Gold Coast Suns,Port Adelaide,53.18,10
24,North Melbourne,Adelaide Crows,Adelaide Crows,68.92,10
24,Richmond,Geelong Cats,Geelong Cats,70.71,31
24,West Coast Eagles,Sydney Swans,Sydney Swans,67.87,50
24,GWS Giants,St Kilda,GWS Giants,61.43,25
24,Western Bulldogs,Fremantle,Western Bulldogs,62.74,62
24,Brisbane Lions,Hawthorn,Brisbane Lions,51.23,21
24,Gold Coast Suns,Essendon,Gold Coast Suns,76.0,15
